,likert_5_options_0,likert_5_options_1,likert_5_options_2,likert_5_options_3,likert_5_options_4,likert_5_options_5,likert_5_options_6,likert_5_options_7,likert_5_options_8,likert_5_options_9,likert_5_options_10,likert_5_options_11,likert_5_options_12,likert_5_options_13,likert_5_options_14,likert_5_options_15,likert_5_options_16,likert_5_options_17,likert_5_options_18,likert_5_options_19,likert_5_options_20,likert_5_options_21,likert_5_options_22,likert_5_options_23,likert_5_options_24,likert_5_options_25,likert_5_options_26,likert_5_options_27,likert_5_options_28,likert_5_options_29,likert_5_options_30,likert_5_options_31,likert_5_options_32,likert_5_options_33,likert_5_options_34,likert_5_options_35,likert_5_options_36,likert_5_options_37,likert_5_options_38,likert_5_options_39,likert_7_options_0,likert_7_options_1,likert_7_options_2,likert_7_options_3,likert_7_options_4,likert_7_options_5,likert_7_options_6,likert_7_options_7,likert_7_options_8,likert_7_options_9,likert_2_options_0,likert_2_options_1,likert_2_options_2,likert_2_options_3,likert_2_options_4,likert_2_options_5,likert_2_options_6,likert_2_options_7,likert_2_options_8,likert_2_options_9,target
0,5,1,2,5,5,3,3,5,5,2,1,2,2,2,5,1,4,5,3,2,5,5,4,2,5,1,4,3,2,2,1,5,2,3,1,5,1,1,1,1,1,2,2,7,5,2,3,7,1,6,0,1,0,0,0,0,0,0,0,0,0
1,1,5,5,1,5,3,3,5,5,2,1,4,3,5,2,1,5,4,3,2,2,1,4,2,5,1,1,2,2,2,3,5,1,3,1,3,3,2,1,1,1,6,3,5,5,2,5,4,1,1,0,1,0,0,0,0,0,0,0,0,0
2,5,4,2,5,2,4,3,5,1,3,5,4,2,1,3,2,4,2,2,2,4,3,4,1,5,1,3,2,1,1,5,2,1,4,2,3,3,1,1,2,7,5,3,5,5,3,3,7,6,3,1,0,0,0,0,0,0,0,0,0,1
3,5,4,3,5,5,3,5,4,1,2,3,2,3,5,2,2,2,4,3,2,3,5,1,1,3,1,4,4,4,2,1,3,5,4,5,5,4,5,5,1,5,1,2,7,2,3,5,2,5,3,0,0,0,0,0,0,0,1,0,0,0
4,5,5,3,5,2,3,3,5,1,3,3,4,3,1,4,4,4,4,4,2,3,2,1,1,5,1,5,4,2,5,1,2,2,1,5,5,1,4,2,1,7,3,7,5,2,2,7,6,5,6,0,0,0,0,1,0,0,0,0,0,0
5,2,5,3,5,5,3,3,4,5,2,5,1,1,5,2,1,4,4,3,4,1,5,3,2,5,1,1,5,4,4,2,4,1,5,5,5,4,5,1,5,2,4,2,1,5,3,5,7,5,2,0,0,0,1,0,0,0,0,0,1,0
6,5,2,3,4,2,3,3,4,4,5,1,1,2,5,4,1,5,4,4,2,2,3,4,2,5,1,5,4,4,2,1,1,1,1,4,4,1,5,5,4,3,1,2,7,2,4,4,7,6,3,0,0,0,0,0,0,0,1,0,0,0
7,4,1,2,5,5,1,3,2,5,4,4,3,1,2,3,1,5,4,3,3,4,5,3,2,5,1,5,4,2,5,1,4,1,1,1,1,4,5,5,3,7,2,3,7,5,1,3,5,5,4,0,0,0,0,0,0,0,0,0,0,0
8,1,1,3,5,2,4,2,5,1,1,1,4,2,5,4,4,5,2,2,5,1,3,4,4,1,4,5,4,4,2,3,5,1,1,2,1,4,3,4,5,1,1,2,2,2,5,7,6,5,3,0,0,0,0,0,0,0,0,0,0,0
9,5,1,3,5,2,3,5,5,1,3,3,5,2,1,2,1,4,2,5,5,3,3,3,1,5,1,1,4,2,5,5,1,5,5,1,2,3,5,1,1,1,7,5,3,2,3,3,1,3,7,0,0,0,1,0,0,0,0,0,0,0
10,2,1,3,5,5,4,3,2,5,4,1,5,1,5,2,4,2,4,4,5,1,1,3,4,2,4,4,3,2,4,4,3,1,5,2,3,5,2,5,4,1,6,5,1,1,7,7,2,5,3,0,0,0,1,0,0,1,0,0,0,0
11,4,3,2,5,5,1,3,5,5,1,5,5,3,5,3,1,5,4,5,2,5,3,3,4,1,1,4,3,4,1,1,1,2,1,2,5,5,3,5,2,1,4,2,7,6,3,5,7,5,1,0,0,0,0,0,0,0,0,0,0,0
12,4,2,2,1,2,3,4,5,5,3,3,3,1,5,2,1,5,4,1,4,5,3,3,4,5,1,5,4,2,5,1,1,5,5,1,1,1,5,4,2,1,4,7,5,2,3,7,7,5,1,0,0,0,0,0,0,0,0,0,0,0
13,5,2,2,5,2,1,3,2,5,3,5,5,3,3,3,4,4,4,2,2,4,5,5,2,5,1,1,4,4,1,1,5,1,2,1,4,2,4,1,2,4,1,5,7,5,4,3,4,5,3,0,0,0,0,0,0,0,0,0,0,1
14,3,4,2,4,1,3,5,5,5,2,1,5,3,1,4,1,4,2,2,3,3,3,1,2,5,5,5,4,2,2,4,5,1,3,3,3,4,2,2,1,2,1,7,5,5,3,5,5,5,2,0,0,0,0,0,0,0,0,0,0,1
